4.4000,4.6000,5.1000,4.7000,4.1000,4.6000,4.6000,5.0000,4.2000,4.8000
4.9000,4.7000,4.8000,4.6000,4.7000,4.4000,4.7000,4.8000,4.0000,4.6000
4.0000,4.0000,4.4000,4.3000,5.1000,4.6000,4.5000,4.4000,4.0000,4.2000
4.0000,4.3000,4.0000,4.5000,4.9000,4.1000,4.3000,4.2000,5.1000,4.7000
4.2000,4.3000,4.0000,4.2000,4.4000,4.1000,4.7000,4.8000,5.0000,4.3000
4.4000,4.1000,4.3000,4.3000,4.5000,4.6000,4.6000,4.9000,4.5000,4.4000
4.6000,4.6000,4.9000,4.9000,4.5000,4.6000,4.3000,4.7000,4.5000,5.0000
4.6000,4.8000,4.9000,4.8000,4.5000,4.7000,4.7000,4.9000,4.5000,4.4000
5.4000,5.4000,5.3000,4.8000,4.4000,4.1000,4.5000,5.1000,4.4000,4.5000
5.6000,5.2000,4.5000,4.4000,4.4000,4.9000,4.3000,4.5000,4.2000,5.2000
